ID,SMILES,M-fortuitum,M-kansasii,M-bovis,M-tuberculosis-MABA,M-tuberculosis-LORA,M-smegmatis,M-abcessus,M-tuberculosis-BACTEC,task_concatenada
14137,CCOC(=O)c1sc(NN=Cc2ccc(OC)c(OC)c2)nc1C,,,,,,,,,0.0
1881,CCc1nc2ccc(C)cn2c1C(=O)NCCOc1ccc(N2CC3CCCCC3C2)cc1,,,,0.0,,,,,
11782,CCCC(C)NC(=O)CSc1nc2cc(S(=O)(=O)Nc3ccccc3OC)ccc2o1,,,,0.0,,,,,
7317,Nc1cc(C(F)(F)F)cc2c(=O)cc(N3CCN(CC4CCCCC4)CC3)sc12,,,,0.0,,,,,
16471,O=C(Cn1cc(-c2ccccc2)nn1)Nc1nc(-c2ccc3oc4ccccc4c3c2)cs1,,,,,,,,,1.0
1776,O=[N+]([O-])c1cn2c(n1)OC(CN1CCC(Oc3ccc(F)cc3)CC1)CC2,,,,1.0,0.0,,,,
9804,Cc1ccn2nc(C)c(C(=O)NCc3ccc(-c4ccc(OC(F)(F)F)cc4)nc3)c2c1,,,,1.0,,,,,
13141,CC(C)=CC1CC(C)C2CCC(C)c3c2c1c(C)c1ocnc31,,,,,,0.0,,,
14315,COc1cc(C2=NN(C(N)=O)C(c3ccc(Cl)cc3)C2)ccc1OCC(=O)O,,,,,,,,,1.0
17255,CC(C)(C)OC(=O)N1CCc2c(sc(NC(=O)c3ccc(Oc4ccccc4)cc3)c2C(N)=O)C1,,,,,,,,,1.0
16041,Cc1ccc(S(=O)(=O)N2N=Cc3ccccc3B2O)cc1,,,,,,,,0.0,
1176,Cc1n(C(C)C)c2c([n+]1C(C)C)C(=O)c1ccccc1C2=O,,,0.0,,,,,,
8370,CC(C)=CCOc1cccc(NC(=O)Nc2ccc([N+](=O)[O-])cc2)c1,,,,0.0,,0.0,,,
11694,CC1(C(=O)NC2CCCCC2)CCCC(=O)N1N=Cc1ccc([N+](=O)[O-])o1,,,,0.0,,,,,
13085,Nc1nc2cc(NC(=O)Nc3ccc(Cl)c(Cl)c3)ccc2n1CCCc1ccccc1,,,,,,0.0,,,
17161,CCCN(C)C(=C1C(=O)N(c2ccc(Cl)cc2)N=C1C)c1ccc(Cl)cc1,,,,,,,,,0.0
9831,COc1c(C#N)c2c3ccccc3n(C)c2c2c1c1ccccc1n2C,,,,0.0,,,,,
17072,CCCCCc1cn(CC(=O)N2c3ccccc3Sc3ccc(C(F)(F)F)cc32)nn1,,,,,,,,,0.0
13830,COC(=O)c1cc(-c2cccc(NC(=O)c3ccc(C=CC(=O)c4ccc(O)cc4)cc3)c2)on1,,,,,,,,,0.0
11167,COC(=O)CSc1nnc(Cc2csc(NC(=O)c3ccccc3)n2)n1NC(=O)c1ccccc1,,,,0.0,,,,,
12711,COc1c(N2CC3CCCN(Cn4c(O)c(N=O)c5cc(F)ccc54)C3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,,,,,,1.0,,,
12036,CCCCCCCCC(=O)Oc1cccc(Nc2nc3ccccc3c(=O)o2)c1,,,,,0.0,0.0,,,
17315,COc1ccc(S(=O)(=O)N2CCc3c(sc(NC(=O)c4ccc([N+](=O)[O-])s4)c3C(N)=O)C2)cc1,,,,,,,,,0.0
8637,Cc1ccc(-c2cnc(Cl)c(Cn3cc(C=O)nn3)c2)cc1,,,,0.0,,,,,
13270,Nc1ccc2[nH]ccc2c1,,,,,,0.0,,,
13602,CCc1nc2ccccc2n1CCCCOc1ccccc1,,,,,,0.0,,,
200,COc1ccc2nc(C)cc(NC(=O)CN3CC(CN4CCCCC4)OC3=O)c2c1,0.0,,,0.0,,0.0,,,
